Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Date,,,,,,
2020-01-01,129.4199981689453,129.4199981689453,131.0,128.9499969482422,128.9499969482422,269259
2020-01-02,130.13999938964844,130.13999938964844,134.60000610351562,129.39999389648438,132.0,329677
2020-01-03,129.7100067138672,129.7100067138672,130.85000610351562,129.07000732421875,129.07000732421875,298681
2020-01-06,127.37000274658203,127.37000274658203,129.47000122070312,127.11000061035156,129.39999389648438,721657
2020-01-07,127.76000213623047,127.76000213623047,128.6999969482422,127.30999755859375,127.94999694824219,743200
2020-01-08,127.55999755859375,127.55999755859375,127.75,126.5,126.58999633789062,422774
2020-01-09,129.33999633789062,129.33999633789062,129.5500030517578,128.35000610351562,128.9499969482422,291102
2020-01-10,129.61000061035156,129.61000061035156,130.1999969482422,129.3000030517578,129.9499969482422,426319
2020-01-13,130.41000366210938,130.41000366210938,130.5,124.4000015258789,127.0,531373
2020-01-14,131.00999450683594,131.00999450683594,131.22999572753906,129.8000030517578,130.75,325889
2020-01-15,131.00999450683594,131.00999450683594,131.4499969482422,130.0,131.39999389648438,318992
2020-01-16,130.91000366210938,130.91000366210938,131.5,130.0,131.4499969482422,277915
2020-01-17,131.19000244140625,131.19000244140625,131.4499969482422,130.5,131.4499969482422,394076
2020-01-20,129.77999877929688,129.77999877929688,131.5,129.6999969482422,131.2100067138672,769381
2020-01-21,129.27000427246094,129.27000427246094,130.35000610351562,129.0500030517578,130.35000610351562,458654
2020-01-22,128.52999877929688,128.52999877929688,131.4499969482422,128.22000122070312,131.4499969482422,471486
2020-01-23,129.30999755859375,129.30999755859375,129.4499969482422,128.1999969482422,129.4499969482422,184783
2020-01-24,130.11000061035156,130.11000061035156,130.3000030517578,128.75,129.25999450683594,630671
2020-01-27,128.72999572753906,128.72999572753906,130.0,128.5500030517578,129.0,414564
2020-01-28,128.10000610351562,128.10000610351562,130.66000366210938,127.5999984741211,130.66000366210938,826302
2020-01-29,128.75999450683594,128.75999450683594,129.1999969482422,128.0500030517578,128.75,179693
2020-01-30,127.73999786376953,127.73999786376953,129.0,127.5,128.9499969482422,1074097
2020-01-31,127.16999816894531,127.16999816894531,128.42999267578125,126.9000015258789,127.94999694824219,632544
2020-02-03,124.41999816894531,124.41999816894531,126.0,123.5,124.76000213623047,1306194
2020-02-04,126.75,126.75,126.93000030517578,124.05000305175781,125.25,331366
2020-02-05,127.91000366210938,127.91000366210938,128.10000610351562,126.0999984741211,126.0999984741211,343990
2020-02-06,128.94000244140625,128.94000244140625,129.0500030517578,127.55000305175781,127.86000061035156,348705
2020-02-07,128.19000244140625,128.19000244140625,129.14999389648438,127.73999786376953,129.14999389648438,512906
2020-02-10,127.91000366210938,127.91000366210938,129.85000610351562,127.30999755859375,129.85000610351562,371411
2020-02-11,128.3000030517578,128.3000030517578,129.9499969482422,128.0500030517578,128.0500030517578,301763
2020-02-12,129.19000244140625,129.19000244140625,129.35000610351562,128.60000610351562,128.85000610351562,244082
2020-02-13,129.3000030517578,129.3000030517578,129.5399932861328,128.5,129.5399932861328,491397
2020-02-14,128.3800048828125,128.3800048828125,129.69000244140625,128.08999633789062,129.5399932861328,435089
2020-02-17,127.83999633789062,127.83999633789062,129.0,127.69999694824219,128.9199981689453,254024
2020-02-18,127.33999633789062,127.33999633789062,128.5,126.55000305175781,126.94999694824219,569499
2020-02-19,128.58999633789062,128.58999633789062,128.6999969482422,127.0,127.94999694824219,463260
2020-02-20,128.36000061035156,128.36000061035156,128.8000030517578,128.0,128.5500030517578,354821
2020-02-24,125.7300033569336,125.7300033569336,128.41000366210938,125.5,128.41000366210938,3544077
2020-02-25,125.33999633789062,125.33999633789062,126.4000015258789,125.11000061035156,126.3499984741211,587395
2020-02-26,124.04000091552734,124.04000091552734,125.38999938964844,123.80000305175781,125.38999938964844,2733254
2020-02-27,123.63999938964844,123.63999938964844,124.48999786376953,122.54000091552734,123.55000305175781,1863612
2020-02-28,119.29000091552734,119.29000091552734,122.94000244140625,119.11000061035156,121.6500015258789,8148034
2020-03-02,118.38999938964844,118.38999938964844,122.05000305175781,117.20999908447266,122.05000305175781,2355594
2020-03-03,120.4000015258789,120.4000015258789,121.01000213623047,118.55000305175781,119.44000244140625,1810345
2020-03-04,119.5199966430664,119.5199966430664,121.4000015258789,117.91000366210938,121.4000015258789,2300345
2020-03-05,119.75,119.75,142.9499969482422,118.5999984741211,142.9499969482422,513870
2020-03-06,117.18000030517578,117.18000030517578,118.48999786376953,115.5999984741211,118.48999786376953,3370046
2020-03-09,111.62000274658203,111.62000274658203,116.48999786376953,109.73999786376953,116.48999786376953,8020071
2020-03-11,111.30999755859375,111.30999755859375,112.5,110.19999694824219,111.48999786376953,3831170
2020-03-12,102.98999786376953,102.98999786376953,110.0,101.05000305175781,110.0,10397243
2020-03-13,106.36000061035156,106.36000061035156,120.8499984741211,91.26000213623047,91.26000213623047,8805565
2020-03-16,102.37000274658203,102.37000274658203,107.48999786376953,100.0,107.48999786376953,5403873
2020-03-17,99.19999694824219,99.19999694824219,105.0,97.25,102.55000305175781,4118897
2020-03-18,96.08000183105469,96.08000183105469,102.80000305175781,92.19999694824219,100.9000015258789,6548497
2020-03-19,89.47000122070312,89.47000122070312,94.5,87.0,94.5,9073817
2020-03-20,92.97000122070312,92.97000122070312,99.87999725341797,88.0,99.87999725341797,5442253
2020-03-23,83.5199966430664,83.5199966430664,94.83000183105469,81.0,87.0,8143705
2020-03-24,85.0,85.0,90.0,83.06999969482422,86.0,8341374
2020-03-25,89.45999908447266,89.45999908447266,90.0,84.0,85.0,4949333
2020-03-26,92.68000030517578,92.68000030517578,94.80000305175781,84.0,92.0,5221001
2020-03-27,91.26000213623047,91.26000213623047,96.4000015258789,90.87000274658203,93.0,4258490
2020-03-30,89.16999816894531,89.16999816894531,92.5,88.6500015258789,90.0,4813354
2020-03-31,91.94000244140625,91.94000244140625,92.6500015258789,89.69999694824219,90.0,3736401
2020-04-01,89.3499984741211,89.3499984741211,91.94000244140625,89.0,91.94000244140625,2782739
2020-04-03,86.58999633789062,86.58999633789062,91.19999694824219,86.3499984741211,90.0,4260702
2020-04-07,92.41000366210938,92.41000366210938,92.80000305175781,88.25,90.0,4840105
2020-04-08,92.81999969482422,92.81999969482422,98.0,90.6500015258789,91.0,5210533
2020-04-09,96.2300033569336,96.2300033569336,96.5,93.4000015258789,93.94999694824219,4706256
2020-04-13,95.62000274658203,95.62000274658203,96.94999694824219,94.08000183105469,96.94999694824219,2175060
2020-04-15,95.19999694824219,95.19999694824219,97.9000015258789,94.55000305175781,97.0,2756785
